question,answer,pregunta,respuesta
Who is this app for/who can benefit from using this app?,"This app is designed to help farmworkers locate resources in the state of North Carolina. However, it can be used by anyone that is trying to locate a type of service that is in the organizational list. The categories of organizations in this app include: legal, educational, health, and social. Most of these organizations have an outreach program targeted at farmworkers or services specifically benefitting farmworkers and their families. ",¿Para quién es esta app/directorio? ¿A quién le puede beneficiar? ,"Esta app fue diseñada para ayudar a los trabajadores agrícolas a encontrar recursos en el estado de Carolina del Norte. Sin embargo, cualquier persona que esté buscando un tipo de servicio en la lista de organizaciones la puede utilizar. Las categorías de organizaciones en esta app/directorio ofrecen los siguientes tipos de servicios: legal, educación, salud y prestaciones sociales. La mayoría de estas organizaciones tienen programas de alcance para trabajadores agrícolas o servicios que benefician específicamente a los trabajadores agrícolas y a sus familias. "
Why is this app useful?,"Oftentimes farmworkers come to North Carolina from different parts of the country or from another country without knowing much about their surroundings, let alone services in the local area. Conéctate Carolina is designed to find the location of the farmworker user and, through the use of GPS coordinates, direct them to the nearest location of their desired organization.",¿Por qué es útil esta app/directorio?,"Es común que los trabajadores agrícolas vengan a Carolina del Norte de otros estados o de otro país sin conocer sus alrededores, y mucho menos la zona local. Conéctate Carolina ha sido diseñada para encontrar la ubicación del usuario/trabajador agrícola, y a través de las coordinadas del sistema de posicionamiento global (GPS), se le dirige a la ubicación más cercana de la organización que buscan. "
How can I make sure that the organization I am looking at provides the services I am looking for?,"In order to help make the search process easier, there is a short description of each organization that includes the basic services that it offers. If what you are looking for is not in the description, feel free to call the organization and personally ask.",¿Cómo puedo asegurarme de que la organización que estoy buscando proporciona los servicios que necesito?,"Para facilitar el proceso de búsqueda, hay una breve descripción de cada organización que incluye los servicios básicos que ésta ofrece. Si la descripción no incluye lo que busca, no dude en comunicarse con la organización para informarse."
Can I use this app even when I am not in North Carolina?,"Yes, the majority of these organizations are reachable through phone or internet. However, it is important to note that there are laws, resources, and opportunities that vary from state to state. Also, just because you are no longer in North Carolina, does not mean you have lost your remedies for problems that occurred while you were working here",¿Puedo usar esta app/directorio aunque yo no esté en Carolina del Norte? ,"Sí, es posible comunicarse con la mayoría de estas organizaciones por teléfono o por Internet. Sin embargo, es importante tomar en cuenta que hay leyes, recursos y oportunidades que varían de un estado a otro. Asimismo, aunque usted ya no esté en Carolina del Norte usted aún puede tener derecho a solucionar problemas que ocurrieron cuando estaba trabajando aquí."
Will there be Spanish speakers answering the phone?,"Most of the phone numbers listed for an organization are phone numbers of Spanish speaking people within the organization. However, in the case that a non-Spanish speaker answers the phone, be sure to ask if there is anyone that speaks your language or if there are any interpreters available. Most of these organizations are dedicated to helping farmworkers and therefore have Spanish-speaking staff",¿Hay personas disponibles que hablan español y contesten el teléfono? ,"Al llamar a la mayoría de los números de teléfono de las organizaciones usted podrá hablar con alguien en español. Sin embargo, en caso de que la persona que conteste el teléfono no hable español, asegúrese de preguntar si hay alguien que hable su idioma o si tienen interpretes disponibles. La mayoría de estas organizaciones se dedican a ayudar a los trabajadores agrícolas y por lo tanto tienen personal que habla español."
How can I access the services if I don’t have my own transportation? Is there another way they can assist me?,"This varies from organization to organization. Some organizations operate statewide and can answer questions over the phone or arrange a time to meet with you in person. Please call the organization directly and ask if they provide transportation assistance to their site, if they can provide assistance through the phone, or if they can visit you in your home or labor camp. Remember that you have a right to have visitors in your labor camp housing",¿Cómo puedo utilizar los servicios si no tengo transporte? ¿Hay alguna otra manera de que me ayuden?,"Esto varía dependiendo de la organización. Algunas organizaciones proporcionan servicios en todo el estado y pueden contestar preguntas por teléfono o pueden fijar una cita para reunirse con usted en persona. Por favor comuníquese con la organización directamente y pregunte si ofrecen transporte a sus oficinas, si le pueden ayudar por teléfono, o si lo pueden visitar en su hogar o campamento de trabajo. Recuerde que tiene derecho a recibir visitas en su vivienda en el campamento de trabajo."
Are the services provided by the organizations free of charge?,This varies from organization to organization. Most organizations listed provide their services free of charge or use a sliding scale. Please be sure to ask the organization directly about the cost of their services,¿Son gratuitos los servicios proporcionados por las organizaciones? ,Los costos varían dependiendo de la organización. La mayoría de las organizaciones en el directorio ofrecen servicios en forma gratuita o basan el cargo en los ingresos de las personas que soliciten los servicios. Por favor infórmese sobre los costos directamente con cada organización.
Will using this app put my job in danger? Is it safe to give out my information to these organizations?,"The intention of this app is to assist farmworkers to locate resources that they need in their local community. Some of the organizations listed in this app provide legal services, enforce the laws, and assist workers to make complaints against their employer for violations of the law; therefore, your employer may not want you to reach out to some of these groups.  However, many organizations can assist you confidentially, without providing your information to your employer or anyone else.  Be sure to ask if your information is confidential when you call.  If you speak to a legal services organization, the attorney there can advise on what your options are so that you can make an informed decision before filing a complaint against your employer.  An attorney can give you information about your rights and what you can do to assert those rights before contacting your employer.  You should be able to make an informed decision about the costs and benefits of making a complaint in your own name. An attorney can provide you with the information you need to make this decision.",¿Al usar esta app estaré poniendo en peligro mi empleo? ¿Es seguro dar mi información a estas organizaciones?,"Esta app fue creada para ayudar a trabajadores agrícolas a encontrar recursos que necesitan en su comunidad. Algunas organizaciones incluidas en esta app ofrecen servicios legales, hacen cumplir la ley, y pueden ayudar a presentar una queja contra su empleador por violaciones de la ley. Por esa razón es posible que su empleador no quiera que usted se comunique con algunos de estos grupos. Sin embargo, muchas organizaciones le pueden ayudar en secreto, sin darle su información a su empleador o a cualquier otra persona. Cuando llame asegúrese de preguntar si su información es confidencial. Si habla con una organización que ofrece servicios legales, el abogado le puede aconsejar sobre sus opciones para que pueda tomar una decisión informada antes de presentar una queja contra su empleador. Un abogado le puede dar información sobre sus derechos y sobre lo que puede hacer para proteger sus derechos antes de que se comuniquen con su empleador. Usted debe poder tomar una decisión informada al saber los costos y beneficios que resultarán al hacer una queja a su nombre. Un abogado le puede dar la información necesaria para tomar una decisión."
Will these organizations help me if I don’t have papers?,"Each organization’s requirements are different.  You can ask whether your immigration status matters before giving your name to the organization.  Most health and migrant education organizations can provide you with assistance whether or not you have papers.  Some organizations will not help someone without papers, but may be able to help your US citizen child.",¿Me pueden ayudar estas organizaciones si no tengo papeles? ,"Cada organización tiene diferentes requisitos. Usted puede preguntar si importa su estatus migratorio antes de dar su nombre a la organización. La mayoría de las organizaciones de salud y de educación para migrantes le pueden ayudar sin importar si tienes papeles. Algunas organizaciones no pueden ayudar a personas que no tienen papeles, pero es posible que puedan ayudar a sus hijos si ellos son ciudadanos estadounidenses."
Can I use this app without having the organization to have my number?,You can avoid giving out your phone number by pressing *67 and then proceeding with the phone number of the organization. This will help make sure that your number does not stay recorded in the cellphone or answering machine of the organization. ,¿Puedo usar esta app sin darle mi teléfono a la organización?,Puede evitar dar su número de teléfono al oprimir el *67 y después marcar el teléfono de la organización. Al hacer esto su número de teléfono no se quedará grabado en el teléfono celular o la maquina contestadora de la organización.
