name,state,,,,,,,,,,
Alamance,NC,,,,,,,,,,
Alexander,NC,,,,,,,,,,
Alleghany,NC,,,,,,,,,,
Anson,NC,,,,,,,,,,
Ashe,NC,,,,,,,,,,
Avery,NC,,,,,,,,,,
Beaufort,NC,,,,,,,,,,
Bertie,NC,,,,,,,,,,
Bladen,NC,,,,,,,,,,
Brunswick,NC,,,,,,,,,,
Buncombe,NC,,,,,,,,,,
Burke,NC,,,,,,,,,,
Cabarrus,NC,,,,,,,,,,
Caldwell,NC,,,,,,,,,,
Camden,NC,,,,,,,,,,
Carteret,NC,,,,,,,,,,
Caswell,NC,,,,,,,,,,
Catawba,NC,,,,,,,,,,
Chatham,NC,,,,,,,,,,
Cherokee,NC,,,,,,,,,,
Chowan,NC,,,,,,,,,,
Clay,NC,,,,,,,,,,
Cleveland,NC,,,,,,,,,,
Columbus,NC,,,,,,,,,,
Craven,NC,,,,,,,,,,
Cumberland,NC,,,,,,,,,,
Currituck,NC,,,,,,,,,,
Dare,NC,,,,,,,,,,
Davidson,NC,,,,,,,,,,
Davie,NC,,,,,,,,,,
Duplin,NC,,,,,,,,,,
Durham,NC,,,,,,,,,,
Edgecombe,NC,,,,,,,,,,
Forsyth,NC,,,,,,,,,,
Franklin,NC,,,,,,,,,,
Gaston,NC,,,,,,,,,,
Gates,NC,,,,,,,,,,
Graham,NC,,,,,,,,,,
Granville,NC,,,,,,,,,,
Greene,NC,,,,,,,,,,
Guilford,NC,,,,,,,,,,
Halifax,NC,,,,,,,,,,
Harnett,NC,,,,,,,,,,
Haywood,NC,,,,,,,,,,
Henderson,NC,,,,,,,,,,
Hertford,NC,,,,,,,,,,
Hoke,NC,,,,,,,,,,
Hyde,NC,,,,,,,,,,
Iredell,NC,,,,,,,,,,
Jackson,NC,,,,,,,,,,
Johnston,NC,,,,,,,,,,
Jones,NC,,,,,,,,,,
Lee,NC,,,,,,,,,,
Lenoir,NC,,,,,,,,,,
Lincoln,NC,,,,,,,,,,
Macon,NC,,,,,,,,,,
Madison,NC,,,,,,,,,,
Martin,NC,,,,,,,,,,
McDowell,NC,,,,,,,,,,
Mecklenburg,NC,,,,,,,,,,
Mitchell,NC,,,,,,,,,,
Montgomery,NC,,,,,,,,,,
Moore,NC,,,,,,,,,,
Nash,NC,,,,,,,,,,
New Hanover,NC,,,,,,,,,,
Northampton,NC,,,,,,,,,,
Onslow,NC,,,,,,,,,,
Orange,NC,,,,,,,,,,
Pamlico,NC,,,,,,,,,,
Pasquotank,NC,,,,,,,,,,
Pender,NC,,,,,,,,,,
Perquimans,NC,,,,,,,,,,
Person,NC,,,,,,,,,,
Pitt,NC,,,,,,,,,,
Polk,NC,,,,,,,,,,
Randolph,NC,,,,,,,,,,
Richmond,NC,,,,,,,,,,
Robeson,NC,,,,,,,,,,
Rockingham,NC,,,,,,,,,,
Rowan,NC,,,,,,,,,,
Rutherford,NC,,,,,,,,,,
Sampson,NC,,,,,,,,,,
Scotland,NC,,,,,,,,,,
Stanly,NC,,,,,,,,,,
Stokes,NC,,,,,,,,,,
Surry,NC,,,,,,,,,,
Swain,NC,,,,,,,,,,
Transylvania,NC,,,,,,,,,,
Tyrrell,NC,,,,,,,,,,
Union,NC,,,,,,,,,,
Vance,NC,,,,,,,,,,
Wake,NC,,,,,,,,,,
Warren,NC,,,,,,,,,,
Washington,NC,,,,,,,,,,
Watauga,NC,,,,,,,,,,
Wayne,NC,,,,,,,,,,
Wilkes,NC,,,,,,,,,,
Wilson,NC,,,,,,,,,,
Yadkin,NC,,,,,,,,,,
Yancey,NC,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
